Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
28,1.0,0.0,0.0,458.0,8.0,38.0,1463.0,0.1,16.507000000000012,0.0,0.0,230.09715223312378,,,,,,,,,,,,,,,,,,,,,4.710334611188985,5.368733022220043,16.360712348759996,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,0.0,565.0,9.0,107.0,1570.0,0.1,55.90500000000003,0.0,0.0,240.1443440914154,,,,,,,,,,,,,,,,,,,,,24.71398892594953,14.691033457665128,53.367284386411846,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,0.0,687.0,10.0,122.0,1692.0,0.1,78.60599999999991,0.0,0.0,251.42725110054016,,,,,,,,,,,,,,,,,,,,,29.101552620278543,22.907502077351896,75.2059472689166,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,0.0,756.0,11.0,69.0,1761.0,0.1,46.50899999999999,0.0,0.0,258.2781927585602,,,,,,,,,,,,,,,,,,,,,16.626573892690608,15.44138366577028,45.4526262011805,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,0.0,818.0,12.0,62.0,1823.0,0.1,36.605999999999995,0.0,0.0,264.3000795841217,,,,,,,,,,,,,,,,,,,,,14.613195610649278,11.564183725078731,35.77148907880828,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,0.0,855.0,13.0,37.0,1860.0,0.1,17.90600000000002,0.0,0.0,268.0174512863159,,,,,,,,,,,,,,,,,,,,,5.434579651098464,5.944624646763535,17.740383579685155,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,0.0,991.0,14.0,136.0,1996.0,0.1,81.70899999999997,0.0,0.0,280.6147458553314,,,,,,,,,,,,,,,,,,,,,33.07482949063228,23.865809240328247,77.36547677735197,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,0.0,1024.0,15.0,33.0,2029.0,0.1,14.806999999999993,0.0,0.0,284.0530614852905,,,,,,,,,,,,,,,,,,,,,4.269318763727899,4.963200684686619,14.695488762833886,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.0,0.0,0.0,1105.0,16.0,81.0,2110.0,0.1,54.009,0.0,0.0,292.0791983604431,,,,,,,,,,,,,,,,,,,,,18.920886642126163,17.78869078339971,52.58151863774466,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.0,0.0,0.0,1146.0,17.0,41.0,2151.0,0.1,23.206000000000017,0.0,0.0,296.145174741745,,,,,,,,,,,,,,,,,,,,,7.729239839123844,7.776425509891679,22.9349481279036,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
